"id_polifenol"	"polifenol"	"id_gene"	"gene"	"quant"	"pmids"
"611"	"5709"	"2'-hydroxy-2,4,4',5,6'-pentamethylchalcone"	"HGNC:15962"	"CBX8"	1	"28428276"
"586"	"5854"	"2'-hydroxy-3,4,3',4',6'-pentamethoxychalcone"	"HGNC:15962"	"CBX8"	1	"28428276"
"177"	"5730"	"2'-hydroxy-4-methylsulfonylchalcone"	"HGNC:7421"	"MT-CO2"	1	"23877542"
"354"	"5730"	"2'-hydroxy-4-methylsulfonylchalcone"	"HGNC:2187"	"COL11A2"	1	"23877542"
"134"	"5794"	"2'-hydroxychalcone"	"HGNC:7421"	"MT-CO2"	1	"20729081"
"561"	"5794"	"2'-hydroxychalcone"	"HGNC:15962"	"CBX8"	1	"23174316"
"1016"	"5794"	"2'-hydroxychalcone"	"HGNC:8743"	"PCSK1"	1	"16781454"
"1555"	"5794"	"2'-hydroxychalcone"	"HGNC:10718"	"SELE"	1	"10953045"
"5503"	"5794"	"2'-hydroxychalcone"	"HGNC:7939"	"NPPA"	1	"20826087"
"7532"	"5794"	"2'-hydroxychalcone"	"HGNC:6740"	"LYZ"	1	"15642415"
"689"	"6175"	"2'-hydroxyflavanone"	"HGNC:11766"	"TGFB1"	1	"29719590"
"1171"	"6175"	"2'-hydroxyflavanone"	"HGNC:6364"	"KLK3"	1	"24123015"
"3819"	"6175"	"2'-hydroxyflavanone"	"HGNC:386"	"AKR1C3"	2	"24832494,19007764"
"6948"	"6175"	"2'-hydroxyflavanone"	"HGNC:9841"	"RALBP1"	1	"29719590"
"1559"	"4558"	"2'-hydroxyflavone"	"HGNC:10718"	"SELE"	1	"7543732"
"3216"	"4558"	"2'-hydroxyflavone"	"HGNC:4298"	"GLB1"	1	"7543732"
"8562"	"4558"	"2'-hydroxyflavone"	"HGNC:8045"	"NUDC"	1	"26235140"
"5415"	"7054"	"2'-methoxy-6-methylflavone"	"HGNC:8760"	"PDCD1"	1	"23877923"
"7413"	"7054"	"2'-methoxy-6-methylflavone"	"HGNC:25459"	"PAF1"	1	"23877923"
"5755"	"4781"	"2'-methoxykurarinone"	"HGNC:10626"	"CCL27"	1	"20883179"
"5149"	"6031"	"2',3'-dimethoxyflavanone"	"HGNC:9165"	"SEPT4"	1	"21351299"
"1032"	"5837"	"2',3-dihydroxychalcone"	"HGNC:8743"	"PCSK1"	1	"16781454"
"3622"	"5701"	"2',4'-dihydroxy-3,4,5-trimethoxychalcone"	"HGNC:1148"	"BUB1"	1	"24968064"
"3958"	"5701"	"2',4'-dihydroxy-3,4,5-trimethoxychalcone"	"HGNC:6763"	"MAD2L1"	1	"24968064"
"4031"	"5701"	"2',4'-dihydroxy-3,4,5-trimethoxychalcone"	"HGNC:1149"	"BUB1B"	1	"24968064"
"316"	"5885"	"2',4'-dihydroxy-6'-methoxy-3',5'-dimethylchalcone"	"HGNC:2187"	"COL11A2"	1	"19242112"
"3388"	"5885"	"2',4'-dihydroxy-6'-methoxy-3',5'-dimethylchalcone"	"HGNC:13211"	"ATP2C1"	1	"15458771"
"6291"	"5885"	"2',4'-dihydroxy-6'-methoxy-3',5'-dimethylchalcone"	"HGNC:3271"	"EIF3A"	1	"19242112"
"1924"	"5814"	"2',4'-dihydroxychalcone"	"HGNC:11328"	"SSSCA1"	1	"26788200"
"686"	"6693"	"2',4',7-trihydroxyisoflavone"	"HGNC:11766"	"TGFB1"	1	"11506805"
"1900"	"6693"	"2',4',7-trihydroxyisoflavone"	"HGNC:11205"	"SP1"	1	"19742137"
"6590"	"6693"	"2',4',7-trihydroxyisoflavone"	"HGNC:952"	"BARD1"	1	"16469160"
"8870"	"6693"	"2',4',7-trihydroxyisoflavone"	"HGNC:950"	"BAP1"	1	"16469160"
"5504"	"5833"	"2',5'-dihydroxychalcone"	"HGNC:7939"	"NPPA"	1	"20826087"
"7533"	"5833"	"2',5'-dihydroxychalcone"	"HGNC:6740"	"LYZ"	1	"15642415"
"464"	"5945"	"2',5'-dimethoxychalcone"	"HGNC:5397"	"IFI27"	1	"24989010"
"1019"	"5945"	"2',5'-dimethoxychalcone"	"HGNC:8743"	"PCSK1"	1	"20199865"
"4341"	"5945"	"2',5'-dimethoxychalcone"	"HGNC:1240"	"SUCO"	1	"19483325"
"3762"	"5841"	"2',6'-dihydroxy-4'-methoxychalcone"	"HGNC:11906"	"TNFRSF10C"	1	"21797841"
"4697"	"5846"	"2',6'-dihydroxy-4'-methoxydihydrochalcone"	"HGNC:500"	"ANPEP"	1	"18591809"
"2132"	"629"	"2-(1-hydroxy-3-butenyl)phenol"	"HGNC:9051"	"PLAT"	1	"15363542"
"36"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:6847"	"MAP2K7"	1	"25869769"
"47"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:7421"	"MT-CO2"	23	"21187340,24965577,11439356,29242151,12401798,11179444,11981761,15867384,18346464,15657353,15995627,11910351,15298620,11006085,14696113,21261644,15655524,16300728,14751545,25643632,18622691,11891209,19724275"
"208"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:7797"	"NFKBIA"	1	"18041768"
